Factory Type,Factory Priority,Management Employee,Number of machines,Principal Exportable Products,Factory Location in City,Yearly Production Capacity in Dozen
3,5,180,100,13,3,100000
0,5,350,114,1,1,600000
0,5,250,116,1,2,100000
0,5,250,263,13,1,20000
0,5,65,52,1,1,75000
2,5,582,409,1,1,60000
3,5,440,162,12,1,8000
3,1,1,270,13,3,350000
2,5,721,1100,1,1,60000
0,5,489,278,12,1,100000
3,1,4,185,13,7,84000
3,5,255,165,4,1,208000
2,5,700,300,1,8,72000
0,5,800,518,1234,3,156000
2,5,0,141,1,1,20800
3,5,831,658,134,1,75000
3,1,250,166,13,1,1050000
0,5,400,180,13,1,120000
3,5,1900,1276,1,1,720000
2,5,777,1318,1,3,1800000
0,1,140,100,13,3,350000
2,5,240,260,1,2,36000
3,5,900,400,34,3,130000
3,5,505,219,13,3,100000
3,5,2633,1280,13,1,310000
3,5,850,375,1,4,100000
3,5,250,83,134,1,60000
3,5,16815,6500,13,1,1950000
3,5,990,1038,13,1,240000
2,5,200,70,1,6,4800
2,5,350,250,1,4,36000
3,1,207,141,13,4,100000
0,5,350,130,14,1,330000
3,5,320,270,13,1,50000
3,5,138,75,12,4,216000
3,1,300,245,13,2,14000
0,5,1200,600,13,3,320000
2,5,400,240,1,1,34000
0,5,175,235,134,4,850000
2,1,430,180,1,1,156000
0,1,1,100,13,3,350000
0,5,200,84,1,1,10000
3,5,2400,1400,13,1,1625000
3,5,190,100,13,3,8000
0,5,1050,505,1,3,16666
3,5,1150,520,134,3,200000
3,5,1050,396,134,3,210000
0,5,350,112,1,2,260000
0,5,1084,650,1,2,900000
3,5,600,300,134,1,340000
0,5,861,485,1,1,385000
3,5,1900,1425,134,1,316667
2,5,310,300,1,3,35000
0,1,30,893,1,2,83340
0,5,550,227,1,2,500000
0,5,326,150,13,4,60000
3,5,489,175,12,1,60000
3,5,,258,14,1,150000
2,5,1040,550,1,3,200000
3,5,700,450,13,1,150000
0,5,200,100,123,4,120000
0,5,690,244,14,1,300000
0,5,265,189,134,1,200000
3,5,450,320,134,1,150000
3,5,1868,150,13,1,45000
3,5,0,153,12,4,420000
3,5,313,160,134,1,80000
0,5,186,126,13,3,998410
2,5,450,350,1,3,50000
0,5,433,255,1,1,150000
0,5,2600,1000,1,5,1466000
3,5,650,0,13,1,375000
0,5,550,150,13,1,130000
2,5,900,700,1,3,80000
0,5,380,262,14,2,300000
3,5,350,186,34,1,80000
3,5,1250,729,13,3,260000
3,1,3,264,13,1,95000
3,5,497,350,13,4,100000
0,5,0,0,1,3,650000
0,5,419,297,13,1,1000000
3,5,450,215,13,1,80000
3,5,450,176,14,1,104000
3,5,243,205,13,1,41600
3,5,243,205,13,3,41600
0,5,300,145,13,1,200000
0,1,50,0,1,1,66670
0,1,140,120,,1,494000
0,5,850,325,1,2,650000
0,5,150,100,1,1,20000
0,5,669,550,14,1,245000
0,5,465,155,1,9,679000
3,5,1000,350,13,1,240000
3,5,3677,2907,13,1,14400000
3,5,580,185,124,1,120000
0,5,268,98,1,1,156000
0,5,789,204,134,1,900000
3,5,220,256,124,1,500000
3,5,415,186,12,1,100000
3,5,480,250,13,1,2160000
3,1,247,133,13,4,90200
0,5,750,500,1,2,830000
0,5,600,500,13,4,500000
0,1,1,118,1,2,350000
3,5,3478,3500,13,1,7945000
0,5,200,400,1,4,12000
3,5,350,150,13,1,75000
3,5,600,250,13,1,100000
0,5,700,315,13,3,575000
0,5,450,176,12,4,720000
3,5,307,154,13,1,46000
3,5,562,152,13,1,60000
2,5,201,297,1,1,45000
0,5,2600,1093,123,3,1000000
0,5,350,150,12,4,180000
3,5,1153,0,13,1,240000
7,,50,600,2,10,2430000
3,5,1381,982,13,4,244392
3,5,990,520,134,3,244000
3,1,535,200,13,3,2880000
0,1,500,286,14,3,6000000
3,5,300,130,12,1,72000
0,5,1250,687,13,3,32000000
3,5,435,271,12,1,146000
3,5,250,114,12,1,70000
3,5,310,135,124,1,70000
0,5,1114,606,1,3,1000000
0,5,235,195,13,1,150000
3,5,350,170,13,3,26000
0,5,250,85,1,2,180000
3,5,750,463,134,1,100000
3,5,250,55,1,1,90000
3,5,250,129,13,1,70000
3,5,310,250,134,1,36000
3,5,600,300,134,1,210000
0,5,767,666,1,1,700000
2,5,1200,751,34,1,35000
3,5,430,177,124,1,120000
3,5,711,60,4,2,250000
3,5,250,125,13,1,20000
3,5,400,126,13,3,90000
3,5,500,406,13,3,120000
0,5,239,208,1,3,2400000
0,5,250,143,1,1,30000
3,5,600,283,1,1,120000
0,5,450,200,1,1,200000
3,5,500,276,13,1,42000
2,5,50,45,1,1,30000
3,5,300,220,13,3,52000
0,5,50,140,1,3,210000
2,5,980,602,1,1,91000
3,5,560,290,13,1,180000
2,5,3150,1325,1,1,205000
2,5,885,559,1,1,106000
0,5,3094,250,1,3,125000
2,5,510,308,1,1,180000
0,5,325,117,1,2,188750
0,5,325,113,1,2,188750
