factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factiry_location_in_city,factory_location_in_town,year_of_establishment
1st & Fair Fashion Wear Pvt. Ltd.,Woven,5.0,180.0,100,100000,"Shirts ,Pants","Holding # 2059, Joy Bangla Road, National University, Gazipur, Joydevpur",Gazipur,Joydevpur,2015
3A Fashions Ltd.,Knit,5.0,350.0,114,600000,"T-Shirts ,Polo Shirts","Khejur Bagar, Baro Ashulia, Dhaka, Savar",Dhaka,Savar,2010
3M Composite Ltd.,Knit,5.0,250.0,116,100000,"T-Shirts ,Polo Shirts","Lithe Complex, Asian High Way, Shanarpar, Narayanganj, Siddirganj",Narayanganj,Siddirganj,2009
3N Fashion (BD) Ltd.,Knit,5.0,250.0,263,20000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Plot # 2924,2925,2939,2940, (Chairman Plaza) Dakkhin Khan Bazar, Dhaka, Dakkhin Khan",Dhaka,Dakkhin Khan,2014
3S International Ltd.,Knit,5.0,65.0,52,75000,"T-Shirts ,Polo Shirts","144/1, Alubdi (Ground & 1st Floor), Pallobi, Dhaka, Mirpur-12",Dhaka,Mirpur-12,2015
4 Star Fashions Ltd.,Sweater,5.0,582.0,409,60000,Sweaters,"385/1, East Rampura (6th Floor), Dhaka, Rampura",Dhaka,Rampura,1998
4 You Clothing Ltd.,Woven,5.0,440.0,162,8000,"Shirts ,Blouses ,Trousers","167/1, Senpara Parbata, Section # 10, Dhaka, Mirpur",Dhaka,Mirpur,1999
4 Z Apparels,Woven,1.0,1.0,270,350000,"Shirt ,Pant ,T-shirt ,Polo shirt","Master Bari Road, Beraider Chala, Sreepur, Gazipur, Gazipur",Gazipur,Gazipur,2023
4A Yarn Dyeing Ltd.,Sweater,5.0,721.0,1100,60000,"Sweaters ,Pullovers ,Cardigans","Kaichabari, Banshbari, DEPZ Road, Dhaka, Savar",Dhaka,Savar,2007
4S-Park Style Ltd.,Knit,5.0,489.0,278,100000,"T-Shirts ,Polo Shirts ,Sleep Boxer ,Sweet Shirts","Durgapur, Ashulia, Dhaka, Savar",Dhaka,Savar,2008
5F Apparels Ltd.,Woven,1.0,4.0,185,84000,"Shirt ,Pant ,Jacket ,Trouser","Zirabo, Ashulia, Savar, Ashulia, Dhaka",Ashulia,Dhaka,2016
9 Star Apparels Inds. Ltd.,Woven,5.0,255.0,165,208000,"Caps ,Hats","Plot # 56, Vatulia, House # 116, Nurani Madrasa Road # 5, Dhaka, Turag",Dhaka,Turag,2014
A & A Fashion Sweaters Ltd.,Sweater,5.0,700.0,300,72000,Sweaters,"Naljani (Wireless Gate), Gazipur","Naljani (Wireless Gate),",Gazipur,2004
A & A Trousers Ltd.,Knit,5.0,800.0,518,156000,"Ladies Blouses ,Men's Pants ,Denim Jackets ,T-Shirts","Haribari Tak, Pubail College Gate, Gazipur, Sadar",Gazipur,Sadar,2008
A & B Design & Fashion (Pvt.) Ltd.,Sweater,5.0,0.0,141,20800,Sweater,"Kalma, Dairy farm, Dhaka, Savar",Dhaka,Savar,2016
A J Fashions Ltd.,Woven,5.0,831.0,658,75000,"Padding Jackets ,Shorts ,Fleece Tops ,Pants","234/4, Kachukhet, Dhaka, Cantonment",Dhaka,Cantonment,2000
A Line Sport Ltd.,Woven,1.0,250.0,166,1050000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Plot # 22, Rajabari, Nishatnagar-1711, Turag, Dhaka, Dhaka",Dhaka,Dhaka,2022
A One Dress Makers Ltd.,Knit,5.0,400.0,180,120000,"Shirts ,Pants ,Skirts","1703, Rayerbagh, Dania, Dhaka, Shampur",Dhaka,Shampur,2006
A Plus Industries Ltd.,Woven,5.0,1900.0,1276,720000,"Shirts ,Sweaters","Plot # 28, Section # 7, Dhaka, Dhaka",Dhaka,Dhaka,2006
A Plus Sweater Ltd.,Sweater,5.0,777.0,1318,1800000,Sweater,"Sarifpur Road, Maleker Bari, National University, Gazipur, Gazipur",Gazipur,Gazipur,2013
A S Fashion House,Knit,1.0,140.0,100,350000,"T-Shirt ,Polo Shirt ,Jacket ,Payjama","Mouchak, Kaliakair, Gazipur, Gazipur",Gazipur,Gazipur,2022
A.B. Sweater Inds. (BD) Ltd.,Sweater,5.0,240.0,260,36000,Sweaters,"Khadun, Tarabo Pouroshava, Rupganj, Narayanganj, Narayangonj",Narayanganj,Narayangonj,2008
A.B.M. Fashions Ltd.,Woven,5.0,900.0,400,130000,"Trousers ,Overalls ,Children Wears ,Uniforms","Holding # 1143, 1145, Konabari, Gazipur, Kashimpur",Gazipur,Kashimpur,1992
A.G. Dresses Limited.,Woven,5.0,505.0,219,100000,"Shirts ,Trousers","Plot # 9, Block - C, Tongi I/A, Himardighi, Gazipur, Tongi",Gazipur,Tongi,1992
A.J. Super Garments Ltd.,Woven,5.0,2633.0,1280,310000,"Shirts ,Pants ,Trousers ,Shorts","Goshbagh (1st - 6th Floor), Zirabo, Ashulia, Dhaka, Savar",Dhaka,Savar,2005
A.K. Khan & Co. Ltd.(Garments Div),Woven,5.0,850.0,375,100000,Ladies Shirts,"Kalurghat Heavy Industrial Area, Chittagong, Kalurghat",Chittagong,Kalurghat,1986
